Name	Description	Designator	Quantity	Mouser order code	Farnell order code	TME order code
						
100nF 0603	Ceramic Capacitor	C1, C5, C7, C8, C9, C10, C26, C27, C28, C29, C30, C31, C32	13	581-06033G104ZAT4A	1301713	CC0603KRX7R9BB104
1uF 0603	Ceramic Capacitor	C2, C3, C4, C6	4	581-0603YD105K	1658870	CL10B105KO8NNNC
10uF 0805	Ceramic Capacitor	C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25	15	187-CL21A106KPFNNNG	2320799	08053D106KAT2A
LED	LED Emitters	D1, D2	2	755-SMLEN3EC8TT86	3796285	19-213/GHC-YR1S2
10118193-0001LF	USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole	J1	1	649-10118193-0001LF	2751675	10118193-0001LF/C
Generic Power Pad	Connector	J2, J3, J4, J5, J6, J7, J8, J9, J10, J12	10	-	-	-
215079-4	Connector	J11, J14, J15, J16	4	571-215079-4	1772996	AMP-7-215079-4
FTSH-105-XX-X-DV	Connector Header Surface Mount 10 position 0.050" (1.27mm)	J13	1	200-FTSH10501LDVK	3550960	-
BUK6Y10-30P	P-Channel Standard Level MOSFET SOT669-5	Q1	1	771-BUK6Y24-40PX	3438515	-
1K	Resistor	R1, R17	2	667-ERJ-U3RD1001V	3548613RL	0603SAF1001T5E
3K3	Resistor	R2, R7, R8, 	3	667-ERJ-U3RD3301V	3548692RL	AC0603FR-073K3L
0R	Resistor	R3, R5, R6, R9, R11, R12, R13, R15, R16	9	667-ERJ-3GEY0R00V	2447743	AC0603JR-070RL
47K	Resistor	R4, R10, R14	3	667-ERJ-U3RD4702V	3548718	ARG0603-47K-0.5%
CM1223-02SO	No Description Available	U1	1	748-CM1223-02SO	-	-
NCP164CSN330T1G	Integrated Circuit	U2	1	863-NCP164CSN330T1G	3367831	-
NCV8730ASN500T1G	LDO Regulator TSOP-5	U3	1	863-NCV8730ASN500T1G	3463974	-
MAX14930DASE+	No Description Available	U4, U5	2	700-MAX14930DASE+	3257451	-
PDRV8243HRXYQ1	No Description Available	U6, U7, U8	3	595-DRV8243HQRXYRQ1	-	-
STM32G441KBT3	No Description Available	U9	1	511-STM32G441KBT6	3132413	-